target,selection,crossbreed,mutation,prob,survival,generations,MSE,triangles,population_size,time
.\test_images\emoji.png,universal,one-point,single,0.01,exclusive,2000,2596.5210,5,30,26.0190
.\test_images\emoji.png,universal,one-point,single,0.1,additive,2000,2409.9097,5,10,23.2736
.\test_images\emoji.png,universal,one-point,single,0.01,additive,2000,2474.3835,5,30,27.9674
.\test_images\emoji.png,universal,one-point,single,0.1,additive,2000,2074.2534,5,20,24.4404
.\test_images\emoji.png,roulette,uniform,uniform,0.5,additive,2000,2299.7041,5,30,37.7793
.\test_images\emoji.png,universal,one-point,single,0.1,exclusive,2000,2156.7998,5,10,20.5282
.\test_images\emoji.png,roulette,uniform,uniform,0.5,exclusive,2000,6688.3721,5,30,36.1390
.\test_images\emoji.png,universal,one-point,single,0.1,additive,2000,2095.4851,5,30,24.7148
.\test_images\emoji.png,universal,one-point,single,0.5,additive,2000,2186.0132,5,10,21.5492
.\test_images\emoji.png,universal,one-point,single,0.1,exclusive,2000,2184.1704,5,20,24.1737
.\test_images\emoji.png,universal,one-point,single,0.5,additive,2000,2011.5314,5,20,25.4952
.\test_images\emoji.png,universal,one-point,single,0.5,exclusive,2000,2173.6238,5,10,22.6706
.\test_images\emoji.png,universal,one-point,single,0.1,exclusive,2000,2303.8142,5,30,27.8103
.\test_images\emoji.png,universal,one-point,uniform,0.01,additive,2000,2166.3704,5,10,24.0434
.\test_images\emoji.png,universal,one-point,single,0.5,additive,2000,1997.0714,5,30,28.6645
.\test_images\emoji.png,universal,one-point,single,0.5,exclusive,2000,2237.9504,5,20,26.6323
.\test_images\emoji.png,universal,one-point,uniform,0.01,exclusive,2000,2213.1401,5,10,23.7068
.\test_images\emoji.png,universal,one-point,uniform,0.01,additive,2000,2099.1162,5,20,25.8611
.\test_images\emoji.png,universal,one-point,uniform,0.1,additive,2000,2121.5630,5,10,24.9911
.\test_images\emoji.png,universal,one-point,uniform,0.01,exclusive,2000,2124.3196,5,20,28.1199
.\test_images\emoji.png,universal,one-point,uniform,0.1,exclusive,2000,3765.0193,5,10,24.9280
.\test_images\emoji.png,universal,one-point,single,0.5,exclusive,2000,2296.6924,5,30,33.1379
.\test_images\emoji.png,universal,one-point,uniform,0.01,additive,2000,2060.8000,5,30,32.9530
.\test_images\emoji.png,universal,one-point,uniform,0.01,exclusive,2000,2262.8479,5,30,30.7126
.\test_images\emoji.png,universal,one-point,uniform,0.1,additive,2000,2276.6726,5,20,29.8930
.\test_images\emoji.png,universal,one-point,uniform,0.5,additive,2000,2443.5139,5,10,25.0589
.\test_images\emoji.png,universal,one-point,uniform,0.1,exclusive,2000,3776.8416,5,20,28.9645
.\test_images\emoji.png,universal,one-point,uniform,0.1,additive,2000,1979.9196,5,30,35.8179
.\test_images\emoji.png,universal,one-point,uniform,0.5,exclusive,2000,5689.4487,5,10,31.7698
.\test_images\emoji.png,universal,ring,single,0.01,additive,2000,3552.4470,5,10,33.3931
.\test_images\emoji.png,universal,one-point,uniform,0.5,additive,2000,2479.4824,5,20,44.3210
.\test_images\emoji.png,universal,one-point,uniform,0.1,exclusive,2000,3714.4192,5,30,45.7576
.\test_images\emoji.png,universal,ring,single,0.01,exclusive,2000,4396.0649,5,10,34.5529
.\test_images\emoji.png,universal,ring,single,0.01,additive,2000,2556.5667,5,20,37.1479
.\test_images\emoji.png,universal,ring,single,0.01,exclusive,2000,2848.0459,5,20,36.0508
.\test_images\emoji.png,universal,one-point,uniform,0.5,exclusive,2000,5712.5312,5,20,41.4963
.\test_images\emoji.png,universal,ring,single,0.01,additive,2000,2694.9519,5,30,39.4063
.\test_images\emoji.png,universal,ring,single,0.1,additive,2000,2302.8479,5,10,33.9381
.\test_images\emoji.png,universal,ring,single,0.01,exclusive,2000,2320.2107,5,30,38.0470
.\test_images\emoji.png,universal,one-point,uniform,0.5,additive,2000,2317.3291,5,30,51.1990
.\test_images\emoji.png,universal,ring,single,0.1,additive,2000,2197.9495,5,20,36.4769
.\test_images\emoji.png,universal,ring,single,0.1,exclusive,2000,2344.4294,5,10,34.4059
.\test_images\emoji.png,universal,one-point,uniform,0.5,exclusive,2000,6392.3682,5,30,48.4774
.\test_images\emoji.png,universal,ring,single,0.1,additive,2000,2213.6479,5,30,37.5755
.\test_images\emoji.png,universal,ring,single,0.1,exclusive,2000,2142.7698,5,20,36.7456
.\test_images\emoji.png,universal,ring,single,0.5,additive,2000,2014.1963,5,10,35.5754
.\test_images\emoji.png,universal,ring,single,0.5,exclusive,2000,2139.7749,5,20,23.9352
.\test_images\emoji.png,universal,ring,single,0.1,exclusive,2000,2359.2610,5,30,38.3360
.\test_images\emoji.png,universal,ring,single,0.5,additive,2000,2080.7407,5,20,36.5916
.\test_images\emoji.png,universal,ring,single,0.5,additive,2000,2114.6348,5,30,34.1293
.\test_images\emoji.png,universal,ring,single,0.5,exclusive,2000,2147.4907,5,10,31.6557
.\test_images\emoji.png,universal,ring,uniform,0.01,additive,2000,2216.8115,5,10,22.6339
.\test_images\emoji.png,universal,ring,uniform,0.01,additive,2000,2053.2292,5,20,24.4358
.\test_images\emoji.png,universal,ring,single,0.5,exclusive,2000,2192.2593,5,30,26.5836
.\test_images\emoji.png,universal,ring,uniform,0.01,exclusive,2000,2178.0125,5,10,22.8191
.\test_images\emoji.png,universal,ring,uniform,0.01,additive,2000,2035.4634,5,30,26.1347
.\test_images\emoji.png,universal,ring,uniform,0.01,exclusive,2000,2242.5669,5,20,25.4526
.\test_images\emoji.png,universal,ring,uniform,0.1,additive,2000,2249.4160,5,10,23.1891
.\test_images\emoji.png,universal,ring,uniform,0.01,exclusive,2000,2215.9255,5,30,28.7747
.\test_images\emoji.png,universal,ring,uniform,0.1,additive,2000,2020.4053,5,20,37.6619
.\test_images\emoji.png,universal,ring,uniform,0.5,additive,2000,2334.6714,5,10,48.5955
